Description,Index,Code
ICE BofA 1-3 Year AAA-AA US Municipal Securities Index,Muni AAA,U1A6
ICE BofA 0-3 Year US Agency CMO Index,Agency CMO,CMO1
ICE BofA 1-3 Year US Covered Bond Index,Covered Bond,CVL0
ICE BofA 0-3 Year AAA US Fixed Rate Asset Backed Securities Index,ABS AAA,R1A1
ICE BofA 0-3 Year US Fixed Rate Asset Backed Securities Index,ABS ,R1A0
ICE BofA 1-3 Year US Large Cap Index,US IG,USL1
ICE BofA 1-3 Year US Broad Market Index,US Broad,US01
ICE BofA 0-3 Year BBB US Fixed Rate CMBS Index,CMBS BBB,CB41
ICE BofA 0-3 Year AAA US Fixed Rate CMBS Index,CMBS,CB11
ICE BofA 1-3 Year US Cash Pay High Yield Index,HY ,J1A0
ICE BofA 1-3 Year BB US Cash Pay High Yield Index,HY BB,J1A1
ICE BofA 1-3 Year B Cash Pay High Yield Index,HY B,J1A2
ICE BofA 3-5 Year US Cash Pay High Yield Index,HY 3-5yrs,J2A0
ICE BofA 3-5 Year BB US Cash Pay High Yield Index,HY 3-5yrs BB,J2A1
ICE BofA 3-5 Year B Cash Pay High Yield Index,HY 3-5yrs B,J2A2
ICE BofA 3-6 Month US Treasury Bill Index,T-Bills,G0B2
ICE BofA 1-3 Year US Treasury Index,Tsy 2yrs,G1O2
Federal Reserve 90 Day A2 P2 Nonfinancial Commercial Paper,CP Non Fin,CPDR92NC
Federal Reserve 90 Day AA Financial Commercial Paper ,CP Fin,CPDR9AFC
Overnight Deposit,O/N Deposit,USDR1T
Palmer Square CLO AAA ,CLO AAA,PCLOAAA
"SASB Floating - Multifamily,AAA,Full Extension",SASB MF,SASB_MF
"SASB Floating - Industrial,AAA,Full Extension",SASB Ind,SASB_Ind
